Date,Time In,Time Out,Pond,Site ID,Temperature C,Salinity ppt,Dissolved Oxygen mgL,pH
6/24/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:04:00,Ninigret Pond,1C,26.40,30.00,8.65,8.10
6/24/2015 0:00:00,12/30/1899 10:15:00,12/30/1899 16:19:00,Ninigret Pond,1S,26.40,30.00,8.65,8.10
6/24/2015 0:00:00,12/30/1899 9:55:00,12/30/1899 15:55:00,Ninigret Pond,1U,26.40,30.00,8.65,8.10
6/24/2015 0:00:00,,,Ninigret Pond,2C,26.70,30.18,9.32,8.32
6/24/2015 0:00:00,12/30/1899 10:20:00,12/30/1899 16:37:00,Ninigret Pond,2S,26.70,30.18,9.32,8.32
6/24/2015 0:00:00,12/30/1899 10:30:00,12/30/1899 16:52:00,Ninigret Pond,2U,26.70,30.18,9.32,8.32
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 17:10:00,Ninigret Pond,3C,25.10,30.46,8.35,8.44
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 17:15:00,Ninigret Pond,3S,25.10,30.46,8.35,8.44
6/26/2015 0:00:00,12/30/1899 10:00:00,12/30/1899 16:45:00,Ninigret Pond,3U,25.10,30.46,8.35,8.44
6/26/2015 0:00:00,12/30/1899 10:15:00,12/30/1899 15:50:00,Ninigret Pond,4C,25.30,30.60,7.85,8.26
6/26/2015 0:00:00,12/30/1899 10:15:00,12/30/1899 15:40:00,Ninigret Pond,4S,25.30,30.60,7.85,8.26
6/26/2015 0:00:00,12/30/1899 10:10:00,12/30/1899 16:00:00,Ninigret Pond,4U,25.30,30.60,7.85,8.26
8/13/2015 0:00:00,,,Ninigret Pond,3C,0.00,0.00,0.00,0.00
8/13/2015 0:00:00,,,Ninigret Pond,3S,0.00,0.00,0.00,0.00
8/13/2015 0:00:00,,,Ninigret Pond,3U,0.00,0.00,0.00,0.00
8/13/2015 0:00:00,,,Ninigret Pond,4C,0.00,0.00,0.00,0.00
