Date,Time In,Time Out,Pond,Site ID,Mesh Size,Species,Length mm,Stretch in,Panel Length ft,COMMON NAME
9/12/2016 0:00:00,12/30/1899 18:31:00,12/30/1899 6:06:00,Ninigret Pond,4S,1,143,218,3.00,15,SCUP
9/12/2016 0:00:00,12/30/1899 18:31:00,12/30/1899 6:06:00,Ninigret Pond,4S,1,143,212,3.00,15,SCUP
9/12/2016 0:00:00,12/30/1899 18:31:00,12/30/1899 6:06:00,Ninigret Pond,4S,1,143,214,3.00,15,SCUP
9/12/2016 0:00:00,12/30/1899 18:31:00,12/30/1899 6:06:00,Ninigret Pond,4S,1,143,214,3.00,15,SCUP
9/12/2016 0:00:00,12/30/1899 19:12:00,12/30/1899 7:20:00,Ninigret Pond,4C,1,972,138,3.00,15,BLUE CRAB FEMALE
9/12/2016 0:00:00,12/30/1899 19:12:00,12/30/1899 7:20:00,Ninigret Pond,4C,1,36,284,3.00,15,MENHADEN ATLANTIC
9/12/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 6:25:00,Ninigret Pond,4U,1,971,127,3.00,15,BLUE CRAB MALE
9/12/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 6:25:00,Ninigret Pond,4U,1,36,313,3.00,15,MENHADEN ATLANTIC
9/12/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 6:25:00,Ninigret Pond,4U,1,36,0,3.00,15,MENHADEN ATLANTIC
9/12/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 6:25:00,Ninigret Pond,4U,1,36,215,3.00,15,MENHADEN ATLANTIC
9/12/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 6:25:00,Ninigret Pond,4U,1,36,210,3.00,15,MENHADEN ATLANTIC
9/12/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 6:42:00,Ninigret Pond,3U,1,36,218,3.00,15,MENHADEN ATLANTIC
9/12/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 6:42:00,Ninigret Pond,3U,1,36,178,3.00,15,MENHADEN ATLANTIC
8/13/2015 0:00:00,,,Ninigret Pond,3C,1,36,,3.00,15,MENHADEN ATLANTIC
8/13/2015 0:00:00,,,Ninigret Pond,4U,1,36,,3.00,15,MENHADEN ATLANTIC
9/28/2016 0:00:00,12/30/1899 17:18:00,12/30/1899 7:05:00,Quonochontaug Pond,3D,1,983,52,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:18:00,12/30/1899 7:05:00,Quonochontaug Pond,3D,1,36,290,3.00,15,MENHADEN ATLANTIC
9/28/2016 0:00:00,12/30/1899 17:18:00,12/30/1899 7:05:00,Quonochontaug Pond,3D,1,36,280,3.00,15,MENHADEN ATLANTIC
9/28/2016 0:00:00,12/30/1899 17:18:00,12/30/1899 7:05:00,Quonochontaug Pond,3D,1,36,281,3.00,15,MENHADEN ATLANTIC
9/28/2016 0:00:00,12/30/1899 17:18:00,12/30/1899 7:05:00,Quonochontaug Pond,3D,1,36,292,3.00,15,MENHADEN ATLANTIC
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,139,425,3.00,15,BASS STRIPED
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,139,540,3.00,15,BASS STRIPED
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,983,51,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,983,53,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,983,55,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,983,60,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,983,47,3.00,15,SPIDER CRAB
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C,1,983,57,3.00,15,SPIDER CRAB
