Date,Time In,Time Out,Pond,Site ID
8/13/2015 0:00:00,,,Ninigret Pond,3C
8/13/2015 0:00:00,,,Ninigret Pond,3S
8/13/2015 0:00:00,,,Ninigret Pond,3U
8/13/2015 0:00:00,,,Ninigret Pond,4C
8/13/2015 0:00:00,,,Ninigret Pond,4S
8/13/2015 0:00:00,,,Ninigret Pond,4U
8/26/2015 0:00:00,,,Ninigret Pond,1C
8/26/2015 0:00:00,,,Ninigret Pond,1S
8/26/2015 0:00:00,,,Ninigret Pond,1U
8/26/2015 0:00:00,,,Ninigret Pond,2C
8/26/2015 0:00:00,,,Ninigret Pond,2S
8/26/2015 0:00:00,,,Ninigret Pond,2U
9/10/2015 0:00:00,,,Ninigret Pond,3C
9/10/2015 0:00:00,,,Ninigret Pond,3S
9/10/2015 0:00:00,,,Ninigret Pond,3U
9/10/2015 0:00:00,,,Ninigret Pond,4C
9/10/2015 0:00:00,,,Ninigret Pond,4S
9/10/2015 0:00:00,,,Ninigret Pond,4U
5/11/2016 0:00:00,12/30/1899 18:03:00,12/30/1899 6:32:00,Ninigret Pond,1C
5/11/2016 0:00:00,12/30/1899 18:20:00,12/30/1899 7:02:00,Ninigret Pond,1S
5/11/2016 0:00:00,12/30/1899 18:15:00,12/30/1899 6:43:00,Ninigret Pond,1U
5/11/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 7:30:00,Ninigret Pond,2C
5/11/2016 0:00:00,12/30/1899 18:51:00,12/30/1899 7:10:00,Ninigret Pond,2S
5/11/2016 0:00:00,12/30/1899 18:30:00,12/30/1899 7:21:00,Ninigret Pond,2U
5/12/2016 0:00:00,12/30/1899 19:05:00,12/30/1899 7:20:00,Ninigret Pond,3C
5/12/2016 0:00:00,12/30/1899 19:18:00,12/30/1899 7:15:00,Ninigret Pond,3S
5/12/2016 0:00:00,12/30/1899 19:13:00,12/30/1899 7:02:00,Ninigret Pond,3U
5/12/2016 0:00:00,12/30/1899 19:30:00,12/30/1899 8:03:00,Ninigret Pond,4C
5/12/2016 0:00:00,12/30/1899 19:25:00,12/30/1899 7:31:00,Ninigret Pond,4S
5/12/2016 0:00:00,12/30/1899 19:37:00,12/30/1899 7:43:00,Ninigret Pond,4U
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C
6/16/2016 0:00:00,12/30/1899 18:55:00,12/30/1899 7:42:00,Ninigret Pond,1S
6/16/2016 0:00:00,12/30/1899 18:49:00,12/30/1899 7:30:00,Ninigret Pond,1U
6/16/2016 0:00:00,12/30/1899 19:08:00,12/30/1899 8:03:00,Ninigret Pond,2C
6/16/2016 0:00:00,12/30/1899 18:59:00,12/30/1899 7:50:00,Ninigret Pond,2S
6/16/2016 0:00:00,12/30/1899 19:03:00,12/30/1899 8:01:00,Ninigret Pond,2U
6/20/2016 0:00:00,12/30/1899 17:49:00,12/30/1899 7:27:00,Ninigret Pond,3C
6/20/2016 0:00:00,12/30/1899 17:31:00,12/30/1899 6:53:00,Ninigret Pond,3S
6/20/2016 0:00:00,12/30/1899 17:53:00,12/30/1899 7:37:00,Ninigret Pond,3U
6/20/2016 0:00:00,12/30/1899 17:31:00,12/30/1899 6:53:00,Ninigret Pond,4C
6/20/2016 0:00:00,12/30/1899 17:26:00,12/30/1899 6:48:00,Ninigret Pond,4S
6/20/2016 0:00:00,12/30/1899 17:34:00,12/30/1899 7:15:00,Ninigret Pond,4U
6/22/2016 0:00:00,12/30/1899 19:45:00,12/30/1899 8:17:00,Quonochontaug Pond,1A
6/22/2016 0:00:00,12/30/1899 19:37:00,12/30/1899 8:03:00,Quonochontaug Pond,1B
6/22/2016 0:00:00,12/30/1899 19:29:00,12/30/1899 7:54:00,Quonochontaug Pond,1C
6/22/2016 0:00:00,12/30/1899 19:22:00,12/30/1899 7:40:00,Quonochontaug Pond,1D
6/22/2016 0:00:00,12/30/1899 18:48:00,12/30/1899 6:51:00,Quonochontaug Pond,3A
6/22/2016 0:00:00,12/30/1899 18:42:00,12/30/1899 7:08:00,Quonochontaug Pond,3B
6/23/2016 0:00:00,12/30/1899 18:49:00,12/30/1899 7:38:00,Quonochontaug Pond,2A
6/23/2016 0:00:00,12/30/1899 19:00:00,12/30/1899 7:58:00,Quonochontaug Pond,2B
6/23/2016 0:00:00,12/30/1899 19:05:00,12/30/1899 8:14:00,Quonochontaug Pond,2C
6/23/2016 0:00:00,12/30/1899 19:21:00,12/30/1899 9:00:00,Quonochontaug Pond,2D
6/23/2016 0:00:00,12/30/1899 19:15:00,12/30/1899 8:42:00,Quonochontaug Pond,3C
6/23/2016 0:00:00,12/30/1899 19:21:00,12/30/1899 9:00:00,Quonochontaug Pond,3D
7/12/2016 0:00:00,12/30/1899 18:53:00,12/30/1899 6:47:00,Ninigret Pond,3C
7/12/2016 0:00:00,12/30/1899 18:41:00,12/30/1899 6:38:00,Ninigret Pond,3S
7/12/2016 0:00:00,12/30/1899 18:49:00,12/30/1899 6:40:00,Ninigret Pond,3U
7/12/2016 0:00:00,12/30/1899 18:35:00,12/30/1899 6:27:00,Ninigret Pond,4C
7/12/2016 0:00:00,12/30/1899 18:24:00,12/30/1899 6:16:00,Ninigret Pond,4S
7/12/2016 0:00:00,12/30/1899 18:30:00,12/30/1899 6:21:00,Ninigret Pond,4U
7/13/2016 0:00:00,12/30/1899 18:18:00,12/30/1899 7:09:00,Ninigret Pond,1C
7/13/2016 0:00:00,12/30/1899 18:00:00,12/30/1899 7:01:00,Ninigret Pond,1S
7/13/2016 0:00:00,12/30/1899 18:13:00,12/30/1899 6:53:00,Ninigret Pond,1U
7/13/2016 0:00:00,12/30/1899 18:05:00,12/30/1899 6:46:00,Ninigret Pond,2C
7/13/2016 0:00:00,12/30/1899 17:53:00,12/30/1899 6:22:00,Ninigret Pond,2S
7/13/2016 0:00:00,12/30/1899 17:50:00,12/30/1899 6:35:00,Ninigret Pond,2U
7/26/2016 0:00:00,12/30/1899 18:05:00,12/30/1899 6:39:00,Quonochontaug Pond,2A
7/26/2016 0:00:00,12/30/1899 19:07:00,12/30/1899 6:48:00,Quonochontaug Pond,2B
7/26/2016 0:00:00,12/30/1899 18:10:00,12/30/1899 6:27:00,Quonochontaug Pond,2C
7/26/2016 0:00:00,12/30/1899 18:08:00,12/30/1899 7:04:00,Quonochontaug Pond,2D
7/26/2016 0:00:00,12/30/1899 18:13:00,12/30/1899 7:16:00,Quonochontaug Pond,3A
7/26/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 7:25:00,Quonochontaug Pond,3B
7/28/2016 0:00:00,12/30/1899 17:55:00,12/30/1899 7:02:00,Quonochontaug Pond,1A
7/28/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 7:36:00,Quonochontaug Pond,1B
7/28/2016 0:00:00,12/30/1899 17:50:00,12/30/1899 6:47:00,Quonochontaug Pond,1C
7/28/2016 0:00:00,12/30/1899 17:40:00,12/30/1899 6:32:00,Quonochontaug Pond,1D
7/28/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 7:48:00,Quonochontaug Pond,3C
7/28/2016 0:00:00,12/30/1899 17:45:00,12/30/1899 6:40:00,Quonochontaug Pond,3D
8/9/2016 0:00:00,12/30/1899 19:28:00,12/30/1899 7:24:00,Ninigret Pond,3C
8/9/2016 0:00:00,12/30/1899 19:03:00,12/30/1899 7:08:00,Ninigret Pond,3S
8/9/2016 0:00:00,12/30/1899 19:13:00,12/30/1899 7:13:00,Ninigret Pond,3U
8/9/2016 0:00:00,12/30/1899 18:53:00,12/30/1899 6:55:00,Ninigret Pond,4C
8/9/2016 0:00:00,12/30/1899 18:35:00,12/30/1899 6:36:00,Ninigret Pond,4S
8/9/2016 0:00:00,12/30/1899 18:43:00,12/30/1899 6:50:00,Ninigret Pond,4U
8/11/2016 0:00:00,12/30/1899 18:00:00,12/30/1899 6:22:00,Ninigret Pond,1C
8/11/2016 0:00:00,12/30/1899 18:10:00,12/30/1899 6:45:00,Ninigret Pond,1S
8/11/2016 0:00:00,12/30/1899 18:06:00,12/30/1899 6:33:00,Ninigret Pond,1U
8/11/2016 0:00:00,12/30/1899 18:21:00,12/30/1899 7:22:00,Ninigret Pond,2C
8/11/2016 0:00:00,12/30/1899 18:13:00,12/30/1899 6:53:00,Ninigret Pond,2S
8/11/2016 0:00:00,12/30/1899 18:13:00,12/30/1899 7:08:00,Ninigret Pond,2U
8/23/2016 0:00:00,12/30/1899 18:37:00,12/30/1899 8:09:00,Quonochontaug Pond,1A
8/23/2016 0:00:00,12/30/1899 8:28:00,12/30/1899 7:20:00,Quonochontaug Pond,1B
