Date,Time In,Time Out,Pond,Site ID,Gear Number,Species,Length mm,COMMON NAME
6/22/2016 0:00:00,12/30/1899 13:27:00,12/30/1899 19:37:00,Quonochontaug Pond,1B,2,103,86,FLOUNDER SUMMER
6/21/2016 0:00:00,12/30/1899 10:52:00,12/30/1899 16:41:00,Quonochontaug Pond,2B,1,106,47,FLOUNDER WINTER
6/21/2016 0:00:00,12/30/1899 10:56:00,12/30/1899 16:46:00,Quonochontaug Pond,2C,1,106,27,FLOUNDER WINTER
6/22/2016 0:00:00,12/30/1899 12:50:00,12/30/1899 18:18:00,Quonochontaug Pond,3D,1,106,59,FLOUNDER WINTER
6/22/2016 0:00:00,12/30/1899 12:50:00,12/30/1899 18:18:00,Quonochontaug Pond,3D,3,106,65,FLOUNDER WINTER
7/28/2016 0:00:00,12/30/1899 11:38:00,12/30/1899 18:40:00,Quonochontaug Pond,3D,2,106,70,FLOUNDER WINTER
9/28/2016 0:00:00,12/30/1899 10:54:00,12/30/1899 16:56:00,Quonochontaug Pond,2B,1,113,80,SILVERSIDE ATLANTIC
8/29/2016 0:00:00,12/30/1899 10:20:00,12/30/1899 15:58:00,Quonochontaug Pond,3A,3,113,62,SILVERSIDE ATLANTIC
8/29/2016 0:00:00,12/30/1899 10:38:00,12/30/1899 16:18:00,Quonochontaug Pond,3D,3,113,70,SILVERSIDE ATLANTIC
8/29/2016 0:00:00,12/30/1899 10:38:00,12/30/1899 16:18:00,Quonochontaug Pond,3D,3,113,61,SILVERSIDE ATLANTIC
7/26/2016 0:00:00,12/30/1899 10:50:00,12/30/1899 16:51:00,Quonochontaug Pond,2A,3,113,66,SILVERSIDE ATLANTIC
7/26/2016 0:00:00,12/30/1899 10:55:00,12/30/1899 16:58:00,Quonochontaug Pond,2B,2,113,58,SILVERSIDE ATLANTIC
7/26/2016 0:00:00,12/30/1899 11:00:00,12/30/1899 17:03:00,Quonochontaug Pond,2C,3,113,67,SILVERSIDE ATLANTIC
7/26/2016 0:00:00,12/30/1899 11:07:00,12/30/1899 17:13:00,Quonochontaug Pond,2D,2,113,67,SILVERSIDE ATLANTIC
7/28/2016 0:00:00,12/30/1899 11:36:00,12/30/1899 18:23:00,Quonochontaug Pond,3C,1,113,60,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,2,113,55,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,2,113,75,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,65,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,70,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,65,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,74,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,65,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,60,SILVERSIDE ATLANTIC
8/22/2016 0:00:00,12/30/1899 12:00:00,12/30/1899 18:04:00,Quonochontaug Pond,2A,3,113,70,SILVERSIDE ATLANTIC
8/29/2016 0:00:00,12/30/1899 10:12:00,12/30/1899 15:51:00,Quonochontaug Pond,2D,2,113,78,SILVERSIDE ATLANTIC
8/29/2016 0:00:00,12/30/1899 10:20:00,12/30/1899 15:58:00,Quonochontaug Pond,3A,1,113,66,SILVERSIDE ATLANTIC
8/29/2016 0:00:00,12/30/1899 10:20:00,12/30/1899 15:58:00,Quonochontaug Pond,3A,1,113,65,SILVERSIDE ATLANTIC
5/3/2016 0:00:00,12/30/1899 10:22:00,12/30/1899 4:01:00,Ninigret Pond,1C,1,115,43,STICKLEBACK THREESPINE
